"","Period","Region","RegionNum","StartYear","EndYear","WarCount","WarCountA","WarCountP"
"131",17,"Europe","1","1976","1985",0,0,0
"132",17,"MENA","7","1976","1985",2,1,1
"133",17,"North America","5","1976","1985",0,0,0
"134",17,"Oceania","4","1976","1985",0,0,0
"135",17,"South America","6","1976","1985",1,1,0
"136",17,"South Asia","3","1976","1985",0,0,0
"137",18,"Africa","8","1986","1995",0,0,0
"138",18,"East Asia","2","1986","1995",1,1,0
"139",18,"Europe","1","1986","1995",2,2,0
"140",18,"MENA","7","1986","1995",2,2,0
"141",18,"North America","5","1986","1995",0,0,0
"142",18,"Oceania","4","1986","1995",0,0,0
"143",18,"South America","6","1986","1995",1,1,0
"144",18,"South Asia","3","1986","1995",0,0,0
"145",19,"Africa","8","1996","2005",1,1,0
"146",19,"East Asia","2","1996","2005",0,0,0
"147",19,"Europe","1","1996","2005",1,1,0
"148",19,"MENA","7","1996","2005",2,1,1
"149",19,"North America","5","1996","2005",0,0,0
"150",19,"Oceania","4","1996","2005",0,0,0
"151",19,"South America","6","1996","2005",0,0,0
"152",19,"South Asia","3","1996","2005",1,1,0
"153",20,"Africa","8","2006","2007",0,0,0
"154",20,"East Asia","2","2006","2007",0,0,0
"155",20,"Europe","1","2006","2007",0,0,0
"156",20,"MENA","7","2006","2007",0,0,0
"157",20,"North America","5","2006","2007",0,0,0
"158",20,"Oceania","4","2006","2007",0,0,0
"159",20,"South America","6","2006","2007",0,0,0
"160",20,"South Asia","3","2006","2007",0,0,0
