stateabb,ccode,year,milex,milper,irst,pec,tpop,upop,cinc,home1,home2,home3,territory1,territory2,base1,base2,base3,colony8,colony1,colony2,colony3,colony4,colony5,colony6,colony7
USA,2,1816,3823,17,80,254,8659,101,0.039697491,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1817,2466,15,80,277,8899,106,0.03581661,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1818,1910,14,90,302,9139,112,0.036126547,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1819,2301,13,90,293,9379,118,0.03713325,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1820,1556,15,110,303,9618,124,0.037086867,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1821,1612,11,100,321,9939,130,0.034173075,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1822,1079,10,100,332,10268,136,0.032939076,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1823,1170,11,110,345,10596,143,0.033107504,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1824,1261,11,110,390,10924,151,0.032977588,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1825,1336,11,120,424,11252,158,0.034215014,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1826,1658,12,120,502,11580,166,0.036425188,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1827,1663,12,130,556,11909,175,0.035708901,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1828,1622,11,130,609,12237,183,0.035687946,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1829,1678,12,144,686,12565,193,0.03748225,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1830,1687,12,168,799,12901,203,0.038483679,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1831,1835,11,194,864,13321,222,0.042001393,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1832,1896,12,203,1154,13742,244,0.044544697,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1833,2445,13,220,1348,14162,268,0.048138127,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1834,2073,13,240,1291,14582,295,0.04777348,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1835,2001,14,260,1650,15003,324,0.048520003,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1836,2571,17,280,1807,15423,356,0.050953005,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1837,3121,22,290,2027,15843,391,0.053536404,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1838,3083,18,310,1922,16264,429,0.053272706,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1839,2012,19,330,2159,16684,471,0.050800554,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1840,2755,22,291,2244,17120,518,0.049549963,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1841,3042,21,290,2374,17733,562,0.050864942,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1842,3011,23,219,2643,18345,610,0.049301073,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1843,1364,21,320,2967,18957,662,0.051081475,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1844,2432,21,400,3557,19569,718,0.057326183,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1845,3534,21,490,4284,20182,779,0.061653126,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1846,9506,39,777,4863,20794,846,0.082757324,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1847,7431,58,813,5767,21406,918,0.084509611,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1848,8106,60,813,6424,22018,996,0.087174244,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1849,3558,23,660,6976,22631,1081,0.073096491,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1850,4302,21,572,7607,23261,1174,0.072471224,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1851,3525,21,420,9438,24086,1273,0.067707323,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1852,4226,21,508,10270,24911,1380,0.071873814,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1853,4605,21,730,11570,25736,1496,0.078743748,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1854,5765,21,668,13632,26561,1623,0.074200429,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1855,5892,26,711,14651,27386,1760,0.075997368,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1856,6117,26,801,15378,28212,1908,0.07840921,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1857,7499,27,724,15779,29037,2069,0.083294868,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1858,7297,29,640,16015,29862,2244,0.083430812,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1859,5638,29,763,17435,30687,2433,0.083074376,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1860,7060,28,835,18282,31513,2639,0.077372178,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1861,95362,217,664,17660,32351,2759,0.14442921,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1862,136769,673,715,18366,33188,2886,0.1763908,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1863,119662,960,860,21157,34026,3018,0.17896698,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1864,157390,1032,1031,22597,34863,3156,0.19291268,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1865,30471,1063,845,22658,35701,3301,0.13546522,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1866,17821,77,1225,26846,36538,3452,0.098171704,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1867,30698,75,1326,28027,37376,3610,0.11413383,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1868,20154,66,1454,31646,38213,3776,0.10664034,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1869,16559,52,1739,35983,39051,3949,0.10800558,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1870,13128,50,1692,37779,39905,4130,0.098999612,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1871,11811,42,1735,39546,40938,4302,0.098380953,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1872,14246,42,2590,48479,41972,4481,0.1152826,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1873,15014,43,2602,53674,43006,4667,0.11626876,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1874,12899,44,2439,51736,44040,4862,0.11424514,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1875,11720,38,2057,52194,45073,5064,0.10696469,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1876,10749,41,1899,51080,46107,5275,0.10191685,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1877,9074,34,2100,56754,47141,5495,0.10465261,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1878,11367,36,2338,55588,48174,5724,0.10834531,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1879,10527,38,2786,67742,49208,5962,0.12033306,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1880,11414,38,3896,76969,50262,6211,0.1254597,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1881,11973,38,4211,81416,51542,6494,0.12642455,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1882,13040,38,4697,91087,52821,6789,0.1310108,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1883,11425,37,4669,97750,54100,7099,0.13134626,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1884,11438,39,4164,102689,55379,7422,0.13138734,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1885,9748,39,4110,103359,56658,7761,0.13126135,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1886,10382,39,5774,107964,57938,8114,0.1461353,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1887,10765,39,6520,123077,59217,8484,0.15109947,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1888,12647,39,6594,139275,60496,8871,0.1523269,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1889,13195,39,7726,133959,61775,9275,0.15484266,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1890,14788,39,9350,150826,63056,9698,0.16539624,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1891,15315,38,8412,162044,64361,10075,0.16558971,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1892,15654,39,9304,171105,65666,10467,0.17333591,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1893,16964,39,7238,172586,66970,10874,0.16572861,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1894,16001,42,6764,161748,68275,11298,0.15442234,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1895,15187,42,9598,182744,69580,11737,0.16809899,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1896,16382,42,8762,183531,70885,12194,0.16001122,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1897,30249,44,9808,190740,72189,12669,0.16910996,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1898,60011,236,11963,207271,73494,13162,0.19706185,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1899,38588,100,13839,236406,74799,13674,0.18547629,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1900,41481,126,10352,256081,76094,14207,0.18799882,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1901,36087,112,13690,280242,77584,14723,0.2026186,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1902,39722,111,15187,300106,79163,15258,0.2076682,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1903,43814,106,14768,356268,80632,15812,0.21049646,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1904,47918,110,14082,353388,82166,16387,0.20494163,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1905,45098,108,20345,397156,83822,16982,0.21378319,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1906,43602,112,23774,419190,85450,17600,0.21827872,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1907,58725,108,23737,487862,87008,18239,0.22772999,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1908,54189,129,14248,432351,88710,18902,0.20318815,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1909,56177,142,24339,478835,90490,19589,0.22519203,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1910,55880,139,26512,523027,92407,20302,0.22648241,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1911,57157,145,24056,521004,93863,21039,0.21620536,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1912,58992,153,31753,557076,95335,21804,0.22481573,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1913,62825,155,31803,600107,97225,22596,0.21991131,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1914,253205,166,23890,556778,99111,23340,0.20636405,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1915,257648,174,32667,580731,100546,24008,0.2220827,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1916,277421,179,43460,646120,101961,24688,0.23293602,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1917,658584,644,45784,710959,103268,25310,0.24402818,5,4,,2,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1918,7014226,2897,45176,743925,103208,26020,0.29487148,5,4,,2,,,1,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1919,11217796,1173,35228,648393,104514,26723,0.38128334,5,4,,2,,,1,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1920,1657118,343,42809,743808,106461,27428,0.28956637,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1921,1116342,387,20101,622541,108538,28210,0.2532295,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1922,860853,270,36173,641311,110049,29013,0.25559509,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1923,678256,247,45665,834889,111947,29840,0.27207768,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1924,570142,261,38540,762070,114109,30690,0.25359103,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1925,589706,252,46122,790029,115829,31565,0.25404567,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1926,558004,247,49069,852304,117397,32464,0.26326758,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1927,596501,249,45656,842978,119035,33389,0.23862661,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1928,678100,251,52371,833446,120509,34340,0.2400723,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1929,701300,255,57339,903141,121767,35318,0.23979345,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1930,699200,256,41352,814891,123188,36326,0.22811012,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1931,698900,253,26363,709367,124149,36360,0.21601571,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1932,641600,245,13901,612400,124949,36424,0.19717696,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1933,570400,244,23605,649968,125690,36518,0.20514032,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1934,803100,247,26474,689998,126485,36644,0.19744284,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1935,806400,252,34640,721900,127362,36843,0.19324611,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1936,932600,291,48534,825460,128181,36995,0.20598476,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1937,1032900,312,51380,869666,128961,37229,0.20089963,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1938,1131499,323,28805,751346,129969,37463,0.1707712,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1939,980000,334,47898,829091,131028,37772,0.18197109,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1940,1657000,458,60765,939812,132122,37988,0.20190711,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1941,6301000,1801,75150,1031214,133402,38183,0.24449451,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1942,26001000,3859,78047,1103469,134860,38377,0.2854552,5,4,,2,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1943,72109000,9045,80592,1169553,136739,38554,0.3456322,5,4,,2,,,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1944,87000000,11452,81322,1247643,138397,38898,0.3506417,5,4,,2,,,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1945,90000000,12123,72304,1219068,139928,39100,0.38386354,5,4,,2,,,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1946,45133984,3030,60421,1188144,141389,39725,0.36398837,5,4,,2,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1947,14315999,1583,77015,1315777,144126,40857,0.30994186,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1948,10960998,1446,80413,1396394,147208,42019,0.2946597,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1949,13503000,1615,70740,1199344,149767,43216,0.27316636,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1950,14559000,1460,87848,1241836,152271,43964,0.28444302,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1951,33398000,3249,95435,1325948,154878,44711,0.31949946,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1952,47852000,3636,84520,1309824,157553,45123,0.31136742,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1953,49621008,3555,101250,1347597,160184,46581,0.31115836,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1954,42786000,3302,80115,1302449,163026,47007,0.28094009,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1955,40518000,2935,106173,1415958,165931,47688,0.26642248,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1956,41773008,2806,104522,1492506,168903,48389,0.2606138,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1957,44548000,2796,102253,1494767,171984,49087,0.2550486,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1958,45503008,2411,77342,1437859,174882,49733,0.23446997,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1959,46614000,2328,84773,1513627,177830,50320,0.22896473,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1960,45380000,2306,90067,1421218,180671,50966,0.21544383,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1961,47808000,2307,88917,1447002,183691,50941,0.21065485,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1962,52381008,2807,89202,1508570,186538,50916,0.20991142,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1963,52295008,2700,99120,1589655,189242,50891,0.20796648,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1964,51213008,2687,115281,1610682,191889,50866,0.20298257,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1965,51827008,2660,119260,1700357,194303,50841,0.2015391,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1966,67572000,3090,121655,1784048,196560,50815,0.20866945,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1967,75448000,3380,115406,1903194,198712,50790,0.20854811,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1968,80732000,3550,119262,2094353,200706,50765,0.20341188,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1969,81446000,3460,128152,2198902,202677,53117,0.19795081,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1970,77827008,3070,119309,2276904,205052,55468,0.18096918,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1971,74862000,2720,109265,2311854,207661,55560,0.16995624,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1972,77639000,2323,120875,2396418,209896,55652,0.16474316,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1973,78385000,2206,136804,2490304,211909,55743,0.15881944,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1974,85906000,2146,132196,2430725,213854,55736,0.15269861,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1975,90948000,2098,105897,2393766,215973,55728,0.14394777,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1976,91013000,2075,116121,2536257,218035,55721,0.14246269,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1977,100925000,2060,113701,2619481,220239,55713,0.14182441,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1978,109247000,2060,124314,2612982,222585,56208,0.13967438,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1979,122279000,2033,123688,2659868,225055,56702,0.13721611,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1980,143981000,2050,101456,2584210,227726,57197,0.13311459,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1981,169888000,2101,109614,2502657,229966,57825,0.13800748,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1982,196345000,2168,67656,2380353,232188,58453,0.1295889,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1983,217198000,2201,76762,2378677,234307,58856,0.1329419,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1984,237052000,2222,83940,2467563,236348,59259,0.13559404,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1985,245154000,2244,80067,2466405,238466,60260,0.13731457,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1986,265480000,2269,74032,2468629,240651,61261,0.13528731,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1987,273966000,2280,80876,2561765,242804,61975,0.13402919,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1988,281935000,2250,90631,2669996,245021,62689,0.13446887,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1989,294880000,2240,87722,2745073,247342,63402,0.14823866,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1990,289755000,2180,89726,2798225,249907,64116,0.14125326,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1991,262389000,2110,79738,2827021,252618,64814,0.13713777,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1992,286892000,1920,84322,2856725,255391,65413,0.14824486,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1993,297600000,1810,88793,2921265,258132,66072,0.15345162,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1994,293214000,1710,91244,2962511,260602,66457,0.14568017,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1995,277834000,1620,95191,2996708,262755,66945,0.14037095,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1996,277254000,1570,95535,3055692,265284,67433,0.13841243,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1997,276324000,1530,98485,3114015,267901,68503,0.13955292,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1998,279702000,1510,98658,3126886,274028,69572,0.14151686,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1999,292147000,1490,97427,3161089,276218,70642,0.14250799,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2000,303136000,1366,101803,3283713,278357,75342,0.14268766,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2001,322365000,1368,90104,3184088,285112,76419,0.14141168,5,4,,NA,,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2002,348555000,1414,91587,3227356,290270,157321,0.15347439,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2003,404920000,1427,93677,3243291,292883,159669,0.15177245,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2004,455908000,1450,99681,3267987,295487,162073,0.1514481,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2005,495326000,1474,94897,3267376,298166,164533,0.15630208,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2006,521840000,1546,98557,3245355,300943,166465,0.15419258,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2007,552568000,1506,98102,3309665,303787,169391,0.14972392,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2008,616073000,1498,91350,3258397,306657,172381,0.14751531,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2009,662049000,1540,58196,3108786,309492,175133,0.14588451,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2010,693600000,1580,80495,3211750,312247,177349,0.14757971,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2011,687000000,1564,86398,3205649,314912,180792,0.14285889,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2012,655388000,1569,88695,3169126,317505,183712,0.13892639,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2013,600400000,1520,86878,3222039,315537,187325,0.13264199,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2014,581000000,1492,88174,3315793,317719,190421,0.12940805,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2015,597503000,1433,78845,3317109,319929,194505,0.13303833,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,2016,604452000,1381,78475,3293117,322180,197817,0.13305758,5,4,,NA,,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA
CAN,20,1920,10755,4,1118,31979,8556,1598,0.01012836,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
