"","Year","Region","RegionNum","WarCount","WarCountP","WarCountA"
"737","1976","Oceania","4",0,0,0
"738","1977","Oceania","4",0,0,0
"739","1978","Oceania","4",0,0,0
"740","1979","Oceania","4",0,0,0
"741","1980","Oceania","4",0,0,0
"742","1981","Oceania","4",0,0,0
"743","1982","Oceania","4",0,0,0
"744","1983","Oceania","4",0,0,0
"745","1984","Oceania","4",0,0,0
"746","1985","Oceania","4",0,0,0
"747","1986","Oceania","4",0,0,0
"748","1987","Oceania","4",0,0,0
"749","1988","Oceania","4",0,0,0
"750","1989","Oceania","4",0,0,0
"751","1990","Oceania","4",0,0,0
"752","1991","Oceania","4",0,0,0
"753","1992","Oceania","4",0,0,0
"754","1993","Oceania","4",0,0,0
"755","1994","Oceania","4",0,0,0
"756","1995","Oceania","4",0,0,0
"757","1996","Oceania","4",0,0,0
"758","1997","Oceania","4",0,0,0
"759","1998","Oceania","4",0,0,0
"760","1999","Oceania","4",0,0,0
"761","2000","Oceania","4",0,0,0
"762","2001","Oceania","4",0,0,0
"763","2002","Oceania","4",0,0,0
"764","2003","Oceania","4",0,0,0
"765","2004","Oceania","4",0,0,0
"766","2005","Oceania","4",0,0,0
"767","2006","Oceania","4",0,0,0
"768","2007","Oceania","4",0,0,0
"769","1816","North America","5",0,0,0
"770","1817","North America","5",0,0,0
"771","1818","North America","5",0,0,0
"772","1819","North America","5",0,0,0
"773","1820","North America","5",0,0,0
"774","1821","North America","5",0,0,0
"775","1822","North America","5",0,0,0
"776","1823","North America","5",0,0,0
"777","1824","North America","5",0,0,0
"778","1825","North America","5",0,0,0
"779","1826","North America","5",0,0,0
"780","1827","North America","5",0,0,0
"781","1828","North America","5",0,0,0
"782","1829","North America","5",0,0,0
"783","1830","North America","5",0,0,0
"784","1831","North America","5",0,0,0
"785","1832","North America","5",0,0,0
"786","1833","North America","5",0,0,0
"787","1834","North America","5",0,0,0
"788","1835","North America","5",0,0,0
"789","1836","North America","5",0,0,0
"790","1837","North America","5",0,0,0
"791","1838","North America","5",0,0,0
"792","1839","North America","5",0,0,0
"793","1840","North America","5",0,0,0
"794","1841","North America","5",0,0,0
"795","1842","North America","5",0,0,0
"796","1843","North America","5",0,0,0
"797","1844","North America","5",0,0,0
"798","1845","North America","5",0,0,0
"799","1846","North America","5",1,0,1
"800","1847","North America","5",0,0,0
"801","1848","North America","5",0,0,0
"802","1849","North America","5",0,0,0
"803","1850","North America","5",0,0,0
"804","1851","North America","5",0,0,0
"805","1852","North America","5",0,0,0
"806","1853","North America","5",0,0,0
"807","1854","North America","5",0,0,0
"808","1855","North America","5",0,0,0
"809","1856","North America","5",0,0,0
"810","1857","North America","5",0,0,0
"811","1858","North America","5",0,0,0
"812","1859","North America","5",0,0,0
"813","1860","North America","5",0,0,0
"814","1861","North America","5",0,0,0
"815","1862","North America","5",1,0,1
"816","1863","North America","5",0,0,0
"817","1864","North America","5",0,0,0
"818","1865","North America","5",0,0,0
"819","1866","North America","5",0,0,0
"820","1867","North America","5",0,0,0
"821","1868","North America","5",0,0,0
"822","1869","North America","5",0,0,0
"823","1870","North America","5",0,0,0
"824","1871","North America","5",0,0,0
"825","1872","North America","5",0,0,0
"826","1873","North America","5",0,0,0
"827","1874","North America","5",0,0,0
"828","1875","North America","5",0,0,0
"829","1876","North America","5",0,0,0
"830","1877","North America","5",0,0,0
"831","1878","North America","5",0,0,0
"832","1879","North America","5",0,0,0
"833","1880","North America","5",0,0,0
"834","1881","North America","5",0,0,0
"835","1882","North America","5",0,0,0
"836","1883","North America","5",0,0,0
"837","1884","North America","5",0,0,0
"838","1885","North America","5",1,0,1
"839","1886","North America","5",0,0,0
"840","1887","North America","5",0,0,0
"841","1888","North America","5",0,0,0
"842","1889","North America","5",0,0,0
"843","1890","North America","5",0,0,0
"844","1891","North America","5",0,0,0
"845","1892","North America","5",0,0,0
"846","1893","North America","5",0,0,0
"847","1894","North America","5",0,0,0
"848","1895","North America","5",0,0,0
"849","1896","North America","5",0,0,0
"850","1897","North America","5",0,0,0
"851","1898","North America","5",1,0,1
"852","1899","North America","5",0,0,0
"853","1900","North America","5",0,0,0
"854","1901","North America","5",0,0,0
"855","1902","North America","5",0,0,0
"856","1903","North America","5",0,0,0
"857","1904","North America","5",0,0,0
"858","1905","North America","5",0,0,0
"859","1906","North America","5",1,0,1
"860","1907","North America","5",1,0,1
"861","1908","North America","5",0,0,0
"862","1909","North America","5",0,0,0
"863","1910","North America","5",0,0,0
"864","1911","North America","5",0,0,0
"865","1912","North America","5",0,0,0
"866","1913","North America","5",0,0,0
"867","1914","North America","5",0,0,0
"868","1915","North America","5",0,0,0
"869","1916","North America","5",0,0,0
"870","1917","North America","5",0,0,0
"871","1918","North America","5",0,0,0
"872","1919","North America","5",0,0,0
"873","1920","North America","5",0,0,0
"874","1921","North America","5",0,0,0
"875","1922","North America","5",0,0,0
"876","1923","North America","5",0,0,0
"877","1924","North America","5",0,0,0
"878","1925","North America","5",0,0,0
"879","1926","North America","5",0,0,0
"880","1927","North America","5",0,0,0
"881","1928","North America","5",0,0,0
"882","1929","North America","5",0,0,0
"883","1930","North America","5",0,0,0
"884","1931","North America","5",0,0,0
"885","1932","North America","5",0,0,0
"886","1933","North America","5",0,0,0
"887","1934","North America","5",0,0,0
"888","1935","North America","5",0,0,0
"889","1936","North America","5",0,0,0
"890","1937","North America","5",0,0,0
"891","1938","North America","5",0,0,0
"892","1939","North America","5",0,0,0
"893","1940","North America","5",0,0,0
"894","1941","North America","5",0,0,0
"895","1942","North America","5",0,0,0
"896","1943","North America","5",0,0,0
"897","1944","North America","5",0,0,0
"898","1945","North America","5",0,0,0
"899","1946","North America","5",0,0,0
"900","1947","North America","5",0,0,0
"901","1948","North America","5",0,0,0
"902","1949","North America","5",0,0,0
"903","1950","North America","5",0,0,0
"904","1951","North America","5",0,0,0
"905","1952","North America","5",0,0,0
"906","1953","North America","5",0,0,0
"907","1954","North America","5",0,0,0
"908","1955","North America","5",0,0,0
"909","1956","North America","5",0,0,0
"910","1957","North America","5",0,0,0
"911","1958","North America","5",0,0,0
"912","1959","North America","5",0,0,0
"913","1960","North America","5",0,0,0
"914","1961","North America","5",0,0,0
"915","1962","North America","5",0,0,0
"916","1963","North America","5",0,0,0
"917","1964","North America","5",0,0,0
"918","1965","North America","5",0,0,0
"919","1966","North America","5",0,0,0
"920","1967","North America","5",0,0,0
"921","1968","North America","5",0,0,0
"922","1969","North America","5",0,0,0
"923","1970","North America","5",0,0,0
"924","1971","North America","5",0,0,0
"925","1972","North America","5",0,0,0
"926","1973","North America","5",0,0,0
"927","1974","North America","5",0,0,0
"928","1975","North America","5",0,0,0
"929","1976","North America","5",0,0,0
"930","1977","North America","5",0,0,0
"931","1978","North America","5",0,0,0
"932","1979","North America","5",0,0,0
"933","1980","North America","5",0,0,0
"934","1981","North America","5",0,0,0
"935","1982","North America","5",0,0,0
"936","1983","North America","5",0,0,0
"937","1984","North America","5",0,0,0
"938","1985","North America","5",0,0,0
"939","1986","North America","5",0,0,0
"940","1987","North America","5",0,0,0
"941","1988","North America","5",0,0,0
"942","1989","North America","5",0,0,0
"943","1990","North America","5",0,0,0
"944","1991","North America","5",0,0,0
"945","1992","North America","5",0,0,0
"946","1993","North America","5",0,0,0
"947","1994","North America","5",0,0,0
"948","1995","North America","5",0,0,0
"949","1996","North America","5",0,0,0
"950","1997","North America","5",0,0,0
"951","1998","North America","5",0,0,0
"952","1999","North America","5",0,0,0
"953","2000","North America","5",0,0,0
"954","2001","North America","5",0,0,0
"955","2002","North America","5",0,0,0
"956","2003","North America","5",0,0,0
"957","2004","North America","5",0,0,0
"958","2005","North America","5",0,0,0
"959","2006","North America","5",0,0,0
"960","2007","North America","5",0,0,0
"961","1816","South America","6",0,0,0
"962","1817","South America","6",0,0,0
"963","1818","South America","6",0,0,0
"964","1819","South America","6",0,0,0
"965","1820","South America","6",0,0,0
"966","1821","South America","6",0,0,0
"967","1822","South America","6",0,0,0
"968","1823","South America","6",0,0,0
"969","1824","South America","6",0,0,0
"970","1825","South America","6",0,0,0
"971","1826","South America","6",0,0,0
"972","1827","South America","6",0,0,0
"973","1828","South America","6",0,0,0
"974","1829","South America","6",0,0,0
"975","1830","South America","6",0,0,0
"976","1831","South America","6",0,0,0
"977","1832","South America","6",0,0,0
"978","1833","South America","6",0,0,0
"979","1834","South America","6",0,0,0
"980","1835","South America","6",0,0,0
"981","1836","South America","6",0,0,0
"982","1837","South America","6",0,0,0
"983","1838","South America","6",0,0,0
"984","1839","South America","6",0,0,0
"985","1840","South America","6",0,0,0
"986","1841","South America","6",0,0,0
"987","1842","South America","6",0,0,0
"988","1843","South America","6",0,0,0
"989","1844","South America","6",0,0,0
"990","1845","South America","6",0,0,0
"991","1846","South America","6",0,0,0
"992","1847","South America","6",0,0,0
"993","1848","South America","6",0,0,0
"994","1849","South America","6",0,0,0
"995","1850","South America","6",0,0,0
"996","1851","South America","6",1,1,0
"997","1852","South America","6",0,0,0
"998","1853","South America","6",0,0,0
"999","1854","South America","6",0,0,0
"1000","1855","South America","6",0,0,0
"1001","1856","South America","6",0,0,0
"1002","1857","South America","6",0,0,0
"1003","1858","South America","6",0,0,0
"1004","1859","South America","6",0,0,0
"1005","1860","South America","6",0,0,0
"1006","1861","South America","6",0,0,0
"1007","1862","South America","6",0,0,0
"1008","1863","South America","6",1,1,0
"1009","1864","South America","6",1,0,1
"1010","1865","South America","6",1,1,0
"1011","1866","South America","6",0,0,0
"1012","1867","South America","6",0,0,0
"1013","1868","South America","6",0,0,0
"1014","1869","South America","6",0,0,0
"1015","1870","South America","6",0,0,0
"1016","1871","South America","6",0,0,0
"1017","1872","South America","6",0,0,0
"1018","1873","South America","6",0,0,0
"1019","1874","South America","6",0,0,0
"1020","1875","South America","6",0,0,0
"1021","1876","South America","6",1,0,1
"1022","1877","South America","6",0,0,0
"1023","1878","South America","6",0,0,0
"1024","1879","South America","6",1,0,1
"1025","1880","South America","6",0,0,0
"1026","1881","South America","6",0,0,0
"1027","1882","South America","6",0,0,0
"1028","1883","South America","6",0,0,0
"1029","1884","South America","6",0,0,0
"1030","1885","South America","6",0,0,0
"1031","1886","South America","6",0,0,0
"1032","1887","South America","6",0,0,0
"1033","1888","South America","6",0,0,0
"1034","1889","South America","6",0,0,0
"1035","1890","South America","6",0,0,0
"1036","1891","South America","6",0,0,0
"1037","1892","South America","6",0,0,0
"1038","1893","South America","6",0,0,0
"1039","1894","South America","6",0,0,0
"1040","1895","South America","6",0,0,0
"1041","1896","South America","6",0,0,0
"1042","1897","South America","6",0,0,0
"1043","1898","South America","6",0,0,0
"1044","1899","South America","6",0,0,0
"1045","1900","South America","6",0,0,0
"1046","1901","South America","6",0,0,0
"1047","1902","South America","6",0,0,0
"1048","1903","South America","6",0,0,0
"1049","1904","South America","6",0,0,0
"1050","1905","South America","6",0,0,0
"1051","1906","South America","6",0,0,0
"1052","1907","South America","6",0,0,0
"1053","1908","South America","6",0,0,0
"1054","1909","South America","6",0,0,0
"1055","1910","South America","6",0,0,0
"1056","1911","South America","6",0,0,0
"1057","1912","South America","6",0,0,0
"1058","1913","South America","6",0,0,0
"1059","1914","South America","6",0,0,0
"1060","1915","South America","6",0,0,0
"1061","1916","South America","6",0,0,0
"1062","1917","South America","6",0,0,0
"1063","1918","South America","6",0,0,0
"1064","1919","South America","6",0,0,0
"1065","1920","South America","6",0,0,0
"1066","1921","South America","6",0,0,0
"1067","1922","South America","6",0,0,0
"1068","1923","South America","6",0,0,0
"1069","1924","South America","6",0,0,0
"1070","1925","South America","6",0,0,0
"1071","1926","South America","6",0,0,0
"1072","1927","South America","6",0,0,0
"1073","1928","South America","6",0,0,0
"1074","1929","South America","6",0,0,0
"1075","1930","South America","6",0,0,0
"1076","1931","South America","6",0,0,0
"1077","1932","South America","6",1,0,1
"1078","1933","South America","6",0,0,0
"1079","1934","South America","6",0,0,0
"1080","1935","South America","6",0,0,0
"1081","1936","South America","6",0,0,0
"1082","1937","South America","6",0,0,0
"1083","1938","South America","6",0,0,0
"1084","1939","South America","6",0,0,0
"1085","1940","South America","6",0,0,0
"1086","1941","South America","6",0,0,0
"1087","1942","South America","6",0,0,0
"1088","1943","South America","6",0,0,0
"1089","1944","South America","6",0,0,0
"1090","1945","South America","6",0,0,0
"1091","1946","South America","6",0,0,0
"1092","1947","South America","6",0,0,0
"1093","1948","South America","6",0,0,0
"1094","1949","South America","6",0,0,0
"1095","1950","South America","6",0,0,0
"1096","1951","South America","6",0,0,0
"1097","1952","South America","6",0,0,0
"1098","1953","South America","6",0,0,0
"1099","1954","South America","6",0,0,0
"1100","1955","South America","6",0,0,0
"1101","1956","South America","6",0,0,0
"1102","1957","South America","6",0,0,0
"1103","1958","South America","6",0,0,0
"1104","1959","South America","6",0,0,0
"1105","1960","South America","6",0,0,0
"1106","1961","South America","6",0,0,0
"1107","1962","South America","6",0,0,0
"1108","1963","South America","6",0,0,0
"1109","1964","South America","6",0,0,0
"1110","1965","South America","6",0,0,0
"1111","1966","South America","6",0,0,0
"1112","1967","South America","6",0,0,0
"1113","1968","South America","6",0,0,0
"1114","1969","South America","6",1,0,1
"1115","1970","South America","6",0,0,0
"1116","1971","South America","6",0,0,0
"1117","1972","South America","6",0,0,0
"1118","1973","South America","6",0,0,0
"1119","1974","South America","6",0,0,0
"1120","1975","South America","6",0,0,0
"1121","1976","South America","6",0,0,0
"1122","1977","South America","6",0,0,0
"1123","1978","South America","6",0,0,0
"1124","1979","South America","6",0,0,0
"1125","1980","South America","6",0,0,0
"1126","1981","South America","6",0,0,0
"1127","1982","South America","6",1,0,1
"1128","1983","South America","6",0,0,0
"1129","1984","South America","6",0,0,0
"1130","1985","South America","6",0,0,0
"1131","1986","South America","6",0,0,0
"1132","1987","South America","6",0,0,0
"1133","1988","South America","6",0,0,0
"1134","1989","South America","6",0,0,0
"1135","1990","South America","6",0,0,0
"1136","1991","South America","6",0,0,0
"1137","1992","South America","6",0,0,0
"1138","1993","South America","6",0,0,0
"1139","1994","South America","6",0,0,0
"1140","1995","South America","6",1,0,1
"1141","1996","South America","6",0,0,0
"1142","1997","South America","6",0,0,0
"1143","1998","South America","6",0,0,0
"1144","1999","South America","6",0,0,0
"1145","2000","South America","6",0,0,0
"1146","2001","South America","6",0,0,0
"1147","2002","South America","6",0,0,0
"1148","2003","South America","6",0,0,0
"1149","2004","South America","6",0,0,0
"1150","2005","South America","6",0,0,0
"1151","2006","South America","6",0,0,0
"1152","2007","South America","6",0,0,0
"1153","1816","MENA","7",0,0,0
"1154","1817","MENA","7",0,0,0
"1155","1818","MENA","7",0,0,0
"1156","1819","MENA","7",0,0,0
"1157","1820","MENA","7",0,0,0
"1158","1821","MENA","7",0,0,0
"1159","1822","MENA","7",0,0,0
"1160","1823","MENA","7",0,0,0
"1161","1824","MENA","7",0,0,0
"1162","1825","MENA","7",0,0,0
"1163","1826","MENA","7",0,0,0
"1164","1827","MENA","7",0,0,0
"1165","1828","MENA","7",0,0,0
"1166","1829","MENA","7",0,0,0
"1167","1830","MENA","7",0,0,0
"1168","1831","MENA","7",0,0,0
"1169","1832","MENA","7",0,0,0
"1170","1833","MENA","7",0,0,0
"1171","1834","MENA","7",0,0,0
"1172","1835","MENA","7",0,0,0
"1173","1836","MENA","7",0,0,0
"1174","1837","MENA","7",0,0,0
"1175","1838","MENA","7",0,0,0
"1176","1839","MENA","7",0,0,0
"1177","1840","MENA","7",0,0,0
"1178","1841","MENA","7",0,0,0
"1179","1842","MENA","7",0,0,0
"1180","1843","MENA","7",0,0,0
"1181","1844","MENA","7",0,0,0
"1182","1845","MENA","7",0,0,0
"1183","1846","MENA","7",0,0,0
"1184","1847","MENA","7",0,0,0
"1185","1848","MENA","7",0,0,0
"1186","1849","MENA","7",0,0,0
"1187","1850","MENA","7",0,0,0
"1188","1851","MENA","7",0,0,0
"1189","1852","MENA","7",0,0,0
"1190","1853","MENA","7",0,0,0
"1191","1854","MENA","7",0,0,0
"1192","1855","MENA","7",0,0,0
"1193","1856","MENA","7",1,1,0
"1194","1857","MENA","7",0,0,0
"1195","1858","MENA","7",0,0,0
"1196","1859","MENA","7",1,0,1
"1197","1860","MENA","7",0,0,0
"1198","1861","MENA","7",0,0,0
"1199","1862","MENA","7",0,0,0
"1200","1863","MENA","7",0,0,0
"1201","1864","MENA","7",0,0,0
"1202","1865","MENA","7",0,0,0
"1203","1866","MENA","7",0,0,0
"1204","1867","MENA","7",0,0,0
"1205","1868","MENA","7",0,0,0
"1206","1869","MENA","7",0,0,0
"1207","1870","MENA","7",0,0,0
"1208","1871","MENA","7",0,0,0
"1209","1872","MENA","7",0,0,0
"1210","1873","MENA","7",0,0,0
"1211","1874","MENA","7",0,0,0
"1212","1875","MENA","7",0,0,0
"1213","1876","MENA","7",0,0,0
"1214","1877","MENA","7",0,0,0
"1215","1878","MENA","7",0,0,0
"1216","1879","MENA","7",0,0,0
"1217","1880","MENA","7",0,0,0
"1218","1881","MENA","7",0,0,0
"1219","1882","MENA","7",1,0,1
"1220","1883","MENA","7",0,0,0
"1221","1884","MENA","7",0,0,0
"1222","1885","MENA","7",0,0,0
"1223","1886","MENA","7",0,0,0
"1224","1887","MENA","7",0,0,0
"1225","1888","MENA","7",0,0,0
"1226","1889","MENA","7",0,0,0
"1227","1890","MENA","7",0,0,0
"1228","1891","MENA","7",0,0,0
"1229","1892","MENA","7",0,0,0
"1230","1893","MENA","7",0,0,0
"1231","1894","MENA","7",0,0,0
"1232","1895","MENA","7",0,0,0
"1233","1896","MENA","7",0,0,0
"1234","1897","MENA","7",0,0,0
"1235","1898","MENA","7",0,0,0
"1236","1899","MENA","7",0,0,0
"1237","1900","MENA","7",0,0,0
"1238","1901","MENA","7",0,0,0
"1239","1902","MENA","7",0,0,0
"1240","1903","MENA","7",0,0,0
"1241","1904","MENA","7",0,0,0
"1242","1905","MENA","7",0,0,0
"1243","1906","MENA","7",0,0,0
"1244","1907","MENA","7",0,0,0
"1245","1908","MENA","7",0,0,0
"1246","1909","MENA","7",1,0,1
"1247","1910","MENA","7",0,0,0
"1248","1911","MENA","7",0,0,0
"1249","1912","MENA","7",0,0,0
"1250","1913","MENA","7",0,0,0
"1251","1914","MENA","7",0,0,0
"1252","1915","MENA","7",0,0,0
"1253","1916","MENA","7",0,0,0
"1254","1917","MENA","7",0,0,0
"1255","1918","MENA","7",0,0,0
"1256","1919","MENA","7",0,0,0
"1257","1920","MENA","7",0,0,0
"1258","1921","MENA","7",0,0,0
"1259","1922","MENA","7",0,0,0
"1260","1923","MENA","7",0,0,0
"1261","1924","MENA","7",0,0,0
"1262","1925","MENA","7",0,0,0
"1263","1926","MENA","7",0,0,0
"1264","1927","MENA","7",0,0,0
"1265","1928","MENA","7",0,0,0
"1266","1929","MENA","7",0,0,0
"1267","1930","MENA","7",0,0,0
"1268","1931","MENA","7",0,0,0
"1269","1932","MENA","7",0,0,0
"1270","1933","MENA","7",0,0,0
"1271","1934","MENA","7",1,0,1
"1272","1935","MENA","7",0,0,0
"1273","1936","MENA","7",0,0,0
"1274","1937","MENA","7",0,0,0
"1275","1938","MENA","7",0,0,0
"1276","1939","MENA","7",0,0,0
"1277","1940","MENA","7",0,0,0
"1278","1941","MENA","7",0,0,0
"1279","1942","MENA","7",0,0,0
"1280","1943","MENA","7",0,0,0
"1281","1944","MENA","7",0,0,0
"1282","1945","MENA","7",0,0,0
"1283","1946","MENA","7",0,0,0
"1284","1947","MENA","7",0,0,0
"1285","1948","MENA","7",1,1,0
"1286","1949","MENA","7",0,0,0
"1287","1950","MENA","7",0,0,0
"1288","1951","MENA","7",0,0,0
"1289","1952","MENA","7",0,0,0
"1290","1953","MENA","7",0,0,0
"1291","1954","MENA","7",0,0,0
"1292","1955","MENA","7",0,0,0
"1293","1956","MENA","7",1,1,0
"1294","1957","MENA","7",0,0,0
"1295","1958","MENA","7",0,0,0
"1296","1959","MENA","7",0,0,0
"1297","1960","MENA","7",0,0,0
"1298","1961","MENA","7",0,0,0
"1299","1962","MENA","7",0,0,0
"1300","1963","MENA","7",0,0,0
"1301","1964","MENA","7",0,0,0
"1302","1965","MENA","7",0,0,0
"1303","1966","MENA","7",0,0,0
"1304","1967","MENA","7",1,1,0
"1305","1968","MENA","7",0,0,0
"1306","1969","MENA","7",1,0,1
"1307","1970","MENA","7",0,0,0
"1308","1971","MENA","7",0,0,0
"1309","1972","MENA","7",0,0,0
"1310","1973","MENA","7",1,1,0
"1311","1974","MENA","7",0,0,0
"1312","1975","MENA","7",0,0,0
"1313","1976","MENA","7",0,0,0
"1314","1977","MENA","7",0,0,0
"1315","1978","MENA","7",0,0,0
"1316","1979","MENA","7",0,0,0
"1317","1980","MENA","7",1,0,1
"1318","1981","MENA","7",0,0,0
"1319","1982","MENA","7",1,1,0
"1320","1983","MENA","7",0,0,0
"1321","1984","MENA","7",0,0,0
"1322","1985","MENA","7",0,0,0
"1323","1986","MENA","7",1,0,1
"1324","1987","MENA","7",0,0,0
"1325","1988","MENA","7",0,0,0
"1326","1989","MENA","7",0,0,0
"1327","1990","MENA","7",1,0,1
"1328","1991","MENA","7",0,0,0
"1329","1992","MENA","7",0,0,0
"1330","1993","MENA","7",0,0,0
"1331","1994","MENA","7",0,0,0
"1332","1995","MENA","7",0,0,0
"1333","1996","MENA","7",0,0,0
"1334","1997","MENA","7",0,0,0
"1335","1998","MENA","7",0,0,0
"1336","1999","MENA","7",0,0,0
"1337","2000","MENA","7",0,0,0
"1338","2001","MENA","7",1,0,1
"1339","2002","MENA","7",0,0,0
"1340","2003","MENA","7",1,1,0
"1341","2004","MENA","7",0,0,0
"1342","2005","MENA","7",0,0,0
"1343","2006","MENA","7",0,0,0
"1344","2007","MENA","7",0,0,0
"1345","1816","Africa","8",0,0,0
"1346","1817","Africa","8",0,0,0
"1347","1818","Africa","8",0,0,0
"1348","1819","Africa","8",0,0,0
"1349","1820","Africa","8",0,0,0
"1350","1821","Africa","8",0,0,0
"1351","1822","Africa","8",0,0,0
"1352","1823","Africa","8",0,0,0
"1353","1824","Africa","8",0,0,0
"1354","1825","Africa","8",0,0,0
"1355","1826","Africa","8",0,0,0
"1356","1827","Africa","8",0,0,0
"1357","1828","Africa","8",0,0,0
"1358","1829","Africa","8",0,0,0
"1359","1830","Africa","8",0,0,0
"1360","1831","Africa","8",0,0,0
"1361","1832","Africa","8",0,0,0
"1362","1833","Africa","8",0,0,0
"1363","1834","Africa","8",0,0,0
"1364","1835","Africa","8",0,0,0
"1365","1836","Africa","8",0,0,0
"1366","1837","Africa","8",0,0,0
"1367","1838","Africa","8",0,0,0
"1368","1839","Africa","8",0,0,0
"1369","1840","Africa","8",0,0,0
"1370","1841","Africa","8",0,0,0
"1371","1842","Africa","8",0,0,0
"1372","1843","Africa","8",0,0,0
"1373","1844","Africa","8",0,0,0
"1374","1845","Africa","8",0,0,0
"1375","1846","Africa","8",0,0,0
"1376","1847","Africa","8",0,0,0
"1377","1848","Africa","8",0,0,0
"1378","1849","Africa","8",0,0,0
"1379","1850","Africa","8",0,0,0
"1380","1851","Africa","8",0,0,0
"1381","1852","Africa","8",0,0,0
"1382","1853","Africa","8",0,0,0
"1383","1854","Africa","8",0,0,0
"1384","1855","Africa","8",0,0,0
"1385","1856","Africa","8",0,0,0
"1386","1857","Africa","8",0,0,0
"1387","1858","Africa","8",0,0,0
"1388","1859","Africa","8",0,0,0
"1389","1860","Africa","8",0,0,0
"1390","1861","Africa","8",0,0,0
"1391","1862","Africa","8",0,0,0
"1392","1863","Africa","8",0,0,0
"1393","1864","Africa","8",0,0,0
"1394","1865","Africa","8",0,0,0
"1395","1866","Africa","8",0,0,0
"1396","1867","Africa","8",0,0,0
"1397","1868","Africa","8",0,0,0
"1398","1869","Africa","8",0,0,0
"1399","1870","Africa","8",0,0,0
"1400","1871","Africa","8",0,0,0
"1401","1872","Africa","8",0,0,0
"1402","1873","Africa","8",0,0,0
"1403","1874","Africa","8",0,0,0
"1404","1875","Africa","8",0,0,0
"1405","1876","Africa","8",0,0,0
"1406","1877","Africa","8",0,0,0
"1407","1878","Africa","8",0,0,0
"1408","1879","Africa","8",0,0,0
"1409","1880","Africa","8",0,0,0
"1410","1881","Africa","8",0,0,0
"1411","1882","Africa","8",0,0,0
"1412","1883","Africa","8",0,0,0
"1413","1884","Africa","8",0,0,0
"1414","1885","Africa","8",0,0,0
"1415","1886","Africa","8",0,0,0
"1416","1887","Africa","8",0,0,0
"1417","1888","Africa","8",0,0,0
"1418","1889","Africa","8",0,0,0
"1419","1890","Africa","8",0,0,0
"1420","1891","Africa","8",0,0,0
"1421","1892","Africa","8",0,0,0
"1422","1893","Africa","8",0,0,0
"1423","1894","Africa","8",0,0,0
"1424","1895","Africa","8",0,0,0
"1425","1896","Africa","8",0,0,0
"1426","1897","Africa","8",0,0,0
"1427","1898","Africa","8",0,0,0
"1428","1899","Africa","8",0,0,0
"1429","1900","Africa","8",0,0,0
"1430","1901","Africa","8",0,0,0
"1431","1902","Africa","8",0,0,0
"1432","1903","Africa","8",0,0,0
"1433","1904","Africa","8",0,0,0
"1434","1905","Africa","8",0,0,0
"1435","1906","Africa","8",0,0,0
"1436","1907","Africa","8",0,0,0
"1437","1908","Africa","8",0,0,0
"1438","1909","Africa","8",0,0,0
"1439","1910","Africa","8",0,0,0
"1440","1911","Africa","8",0,0,0
"1441","1912","Africa","8",0,0,0
"1442","1913","Africa","8",0,0,0
"1443","1914","Africa","8",1,1,0
"1444","1915","Africa","8",0,0,0
"1445","1916","Africa","8",0,0,0
"1446","1917","Africa","8",0,0,0
"1447","1918","Africa","8",0,0,0
"1448","1919","Africa","8",0,0,0
"1449","1920","Africa","8",0,0,0
"1450","1921","Africa","8",0,0,0
"1451","1922","Africa","8",0,0,0
"1452","1923","Africa","8",0,0,0
"1453","1924","Africa","8",0,0,0
"1454","1925","Africa","8",0,0,0
"1455","1926","Africa","8",0,0,0
"1456","1927","Africa","8",0,0,0
"1457","1928","Africa","8",0,0,0
"1458","1929","Africa","8",0,0,0
"1459","1930","Africa","8",0,0,0
"1460","1931","Africa","8",0,0,0
"1461","1932","Africa","8",0,0,0
"1462","1933","Africa","8",0,0,0
"1463","1934","Africa","8",0,0,0
"1464","1935","Africa","8",1,0,1
"1465","1936","Africa","8",0,0,0
"1466","1937","Africa","8",0,0,0
"1467","1938","Africa","8",0,0,0
"1468","1939","Africa","8",1,0,1
"1469","1940","Africa","8",0,0,0
"1470","1941","Africa","8",0,0,0
"1471","1942","Africa","8",0,0,0
"1472","1943","Africa","8",0,0,0
"1473","1944","Africa","8",0,0,0
"1474","1945","Africa","8",0,0,0
"1475","1946","Africa","8",0,0,0
"1476","1947","Africa","8",0,0,0
"1477","1948","Africa","8",0,0,0
"1478","1949","Africa","8",0,0,0
"1479","1950","Africa","8",0,0,0
"1480","1951","Africa","8",0,0,0
"1481","1952","Africa","8",0,0,0
"1482","1953","Africa","8",0,0,0
"1483","1954","Africa","8",0,0,0
"1484","1955","Africa","8",0,0,0
"1485","1956","Africa","8",0,0,0
"1486","1957","Africa","8",0,0,0
"1487","1958","Africa","8",0,0,0
"1488","1959","Africa","8",0,0,0
"1489","1960","Africa","8",0,0,0
"1490","1961","Africa","8",0,0,0
"1491","1962","Africa","8",0,0,0
"1492","1963","Africa","8",0,0,0
"1493","1964","Africa","8",0,0,0
"1494","1965","Africa","8",0,0,0
"1495","1966","Africa","8",0,0,0
"1496","1967","Africa","8",0,0,0
"1497","1968","Africa","8",0,0,0
"1498","1969","Africa","8",0,0,0
"1499","1970","Africa","8",0,0,0
"1500","1971","Africa","8",0,0,0
"1501","1972","Africa","8",0,0,0
"1502","1973","Africa","8",0,0,0
"1503","1974","Africa","8",0,0,0
