"","Year","Region","RegionNum","WarCount","WarCountP","WarCountA"
"177","1992","Europe","1",1,0,1
"178","1993","Europe","1",1,0,1
"179","1994","Europe","1",0,0,0
"180","1995","Europe","1",0,0,0
"181","1996","Europe","1",0,0,0
"182","1997","Europe","1",0,0,0
"183","1998","Europe","1",0,0,0
"184","1999","Europe","1",1,0,1
"185","2000","Europe","1",0,0,0
"186","2001","Europe","1",0,0,0
"187","2002","Europe","1",0,0,0
"188","2003","Europe","1",0,0,0
"189","2004","Europe","1",0,0,0
"190","2005","Europe","1",0,0,0
"191","2006","Europe","1",0,0,0
"192","2007","Europe","1",0,0,0
"193","1816","East Asia","2",0,0,0
"194","1817","East Asia","2",0,0,0
"195","1818","East Asia","2",0,0,0
"196","1819","East Asia","2",0,0,0
"197","1820","East Asia","2",0,0,0
"198","1821","East Asia","2",0,0,0
"199","1822","East Asia","2",0,0,0
"200","1823","East Asia","2",0,0,0
"201","1824","East Asia","2",0,0,0
"202","1825","East Asia","2",0,0,0
"203","1826","East Asia","2",0,0,0
"204","1827","East Asia","2",0,0,0
"205","1828","East Asia","2",0,0,0
"206","1829","East Asia","2",0,0,0
"207","1830","East Asia","2",0,0,0
"208","1831","East Asia","2",0,0,0
"209","1832","East Asia","2",0,0,0
"210","1833","East Asia","2",0,0,0
"211","1834","East Asia","2",0,0,0
"212","1835","East Asia","2",0,0,0
"213","1836","East Asia","2",0,0,0
"214","1837","East Asia","2",0,0,0
"215","1838","East Asia","2",0,0,0
"216","1839","East Asia","2",0,0,0
"217","1840","East Asia","2",0,0,0
"218","1841","East Asia","2",0,0,0
"219","1842","East Asia","2",0,0,0
"220","1843","East Asia","2",0,0,0
"221","1844","East Asia","2",0,0,0
"222","1845","East Asia","2",0,0,0
"223","1846","East Asia","2",0,0,0
"224","1847","East Asia","2",0,0,0
"225","1848","East Asia","2",0,0,0
"226","1849","East Asia","2",0,0,0
"227","1850","East Asia","2",0,0,0
"228","1851","East Asia","2",0,0,0
"229","1852","East Asia","2",0,0,0
"230","1853","East Asia","2",0,0,0
"231","1854","East Asia","2",0,0,0
"232","1855","East Asia","2",0,0,0
"233","1856","East Asia","2",0,0,0
"234","1857","East Asia","2",0,0,0
"235","1858","East Asia","2",0,0,0
"236","1859","East Asia","2",0,0,0
"237","1860","East Asia","2",0,0,0
"238","1861","East Asia","2",0,0,0
"239","1862","East Asia","2",0,0,0
"240","1863","East Asia","2",0,0,0
"241","1864","East Asia","2",0,0,0
"242","1865","East Asia","2",0,0,0
"243","1866","East Asia","2",0,0,0
"244","1867","East Asia","2",0,0,0
"245","1868","East Asia","2",0,0,0
"246","1869","East Asia","2",0,0,0
"247","1870","East Asia","2",0,0,0
"248","1871","East Asia","2",0,0,0
"249","1872","East Asia","2",0,0,0
"250","1873","East Asia","2",0,0,0
"251","1874","East Asia","2",0,0,0
"252","1875","East Asia","2",0,0,0
"253","1876","East Asia","2",0,0,0
"254","1877","East Asia","2",0,0,0
"255","1878","East Asia","2",0,0,0
"256","1879","East Asia","2",0,0,0
"257","1880","East Asia","2",0,0,0
"258","1881","East Asia","2",0,0,0
"259","1882","East Asia","2",0,0,0
"260","1883","East Asia","2",0,0,0
"261","1884","East Asia","2",1,0,1
"262","1885","East Asia","2",0,0,0
"263","1886","East Asia","2",0,0,0
"264","1887","East Asia","2",0,0,0
"265","1888","East Asia","2",0,0,0
"266","1889","East Asia","2",0,0,0
"267","1890","East Asia","2",0,0,0
"268","1891","East Asia","2",0,0,0
"269","1892","East Asia","2",0,0,0
"270","1893","East Asia","2",0,0,0
"271","1894","East Asia","2",1,1,0
"272","1895","East Asia","2",0,0,0
"273","1896","East Asia","2",0,0,0
"274","1897","East Asia","2",0,0,0
"275","1898","East Asia","2",0,0,0
"276","1899","East Asia","2",0,0,0
"277","1900","East Asia","2",2,0,2
"278","1901","East Asia","2",0,0,0
"279","1902","East Asia","2",0,0,0
"280","1903","East Asia","2",0,0,0
"281","1904","East Asia","2",1,1,0
"282","1905","East Asia","2",0,0,0
"283","1906","East Asia","2",0,0,0
"284","1907","East Asia","2",0,0,0
"285","1908","East Asia","2",0,0,0
"286","1909","East Asia","2",0,0,0
"287","1910","East Asia","2",0,0,0
"288","1911","East Asia","2",0,0,0
"289","1912","East Asia","2",0,0,0
"290","1913","East Asia","2",0,0,0
"291","1914","East Asia","2",1,1,0
"292","1915","East Asia","2",0,0,0
"293","1916","East Asia","2",0,0,0
"294","1917","East Asia","2",0,0,0
"295","1918","East Asia","2",0,0,0
"296","1919","East Asia","2",0,0,0
"297","1920","East Asia","2",0,0,0
"298","1921","East Asia","2",0,0,0
"299","1922","East Asia","2",0,0,0
"300","1923","East Asia","2",0,0,0
"301","1924","East Asia","2",0,0,0
"302","1925","East Asia","2",0,0,0
"303","1926","East Asia","2",0,0,0
"304","1927","East Asia","2",0,0,0
"305","1928","East Asia","2",0,0,0
"306","1929","East Asia","2",1,0,1
"307","1930","East Asia","2",0,0,0
"308","1931","East Asia","2",1,0,1
"309","1932","East Asia","2",0,0,0
"310","1933","East Asia","2",0,0,0
"311","1934","East Asia","2",0,0,0
"312","1935","East Asia","2",0,0,0
