StateAbb,CCode,StateNme,region1,region2
BNG,771,Bangladesh,3,
MYA,775,Myanmar,2,
SRI,780,Sri Lanka,3,
MAD,781,Maldives,3,
NEP,790,Nepal,3,
THI,800,Thailand,2,
CAM,811,Cambodia,2,
LAO,812,Laos,2,
DRV,816,Vietnam,2,
RVN,817,Republic of Vietnam,2,
MAL,820,Malaysia,2,
SIN,830,Singapore,2,
BRU,835,Brunei,2,
PHI,840,Philippines,2,
INS,850,Indonesia,2,
ETM,860,East Timor,2,
AUL,900,Australia,4,
PNG,910,Papua New Guinea,4,
NEW,920,New Zealand,4,
VAN,935,Vanuatu,4,
SOL,940,Solomon Islands,4,
KIR,946,Kiribati,4,
TUV,947,Tuvalu,4,
FIJ,950,Fiji,4,
TON,955,Tonga,4,
NAU,970,Nauru,4,
MSI,983,Marshall Islands,4,
PAL,986,Palau,4,
FSM,987,Federated States of Micronesia,4,
WSM,990,Samoa,4,
